source_file,month,year,record_type,day,max_wind_speed_mph,avg_wind_speed_mph,avg_wind_dir_deg,solar_rad_mj_m2,max_air_temp_f,min_air_temp_f,avg_air_temp_f,rel_hum_max_pct,rel_hum_min_pct,dew_point_f,total_precip_in,total_evap_in,soil_under_sod_4in_max_f,soil_under_sod_4in_min_f,soil_under_sod_4in_avg_f,soil_under_sod_8in_max_f,soil_under_sod_8in_min_f,soil_under_sod_8in_avg_f,soil_bare_4in_max_f,soil_bare_4in_min_f,soil_bare_4in_avg_f,soil_bare_2in_max_f,soil_bare_2in_min_f,soil_bare_2in_avg_f
July_precipitation.asp.html,July,2025,daily,1,18.6,7.4,288.8,29.3,85.0,64.2,75.8,100.0,49.6,66.9,0.0,0.25,86.7,76.6,81.2,79.4,76.2,77.9,94.0,80.8,87.1,102.2,76.0,87.7
July_precipitation.asp.html,July,2025,daily,2,13.9,4.5,285.2,27.5,87.1,59.8,75.3,100.0,45.4,66.1,0.0,0.24,86.6,73.7,80.0,79.1,74.8,77.1,93.8,78.1,85.9,102.9,72.2,86.5
July_precipitation.asp.html,July,2025,daily,3,11.3,1.9,237.1,27.0,90.1,64.0,78.2,100.0,42.0,68.0,0.0,0.23,88.5,74.6,81.5,80.1,75.3,77.7,95.2,79.1,87.2,104.3,73.9,88.4
July_precipitation.asp.html,July,2025,daily,4,14.6,4.9,171.1,27.1,92.3,63.4,79.0,100.0,41.5,69.5,0.0,0.25,89.1,75.7,82.1,80.6,76.0,78.4,95.8,80.1,87.7,106.1,74.9,88.9
July_precipitation.asp.html,July,2025,daily,5,20.4,8.5,187.7,29.6,92.1,66.8,80.1,99.9,45.4,70.4,0.0,0.27,88.2,76.4,82.0,80.7,76.5,78.7,94.8,80.7,87.7,104.5,76.0,89.0
July_precipitation.asp.html,July,2025,daily,6,38.9,8.8,234.4,21.3,89.8,71.1,79.5,100.0,61.6,73.4,0.96,0.19,86.8,77.8,81.6,80.4,77.2,78.7,92.6,82.0,86.2,101.1,77.2,86.4
July_precipitation.asp.html,July,2025,daily,7,15.6,6.5,52.6,26.5,83.2,67.1,74.2,100.0,53.0,68.1,0.0,0.21,87.5,76.4,81.2,79.8,76.5,78.2,89.1,78.1,82.9,95.3,73.3,82.0
July_precipitation.asp.html,July,2025,daily,8,17.4,5.2,167.2,23.2,86.0,63.0,74.3,100.0,55.1,68.8,0.14,0.19,85.4,74.6,79.7,79.1,75.4,77.4,91.2,75.1,82.4,100.0,68.8,82.2
July_precipitation.asp.html,July,2025,daily,9,13.5,2.8,285.2,26.9,85.4,67.4,76.0,100.0,61.3,71.4,0.0,0.22,88.8,75.2,81.7,80.6,75.7,78.1,92.6,76.8,84.2,101.8,71.8,85.0
July_precipitation.asp.html,July,2025,daily,10,15.9,4.3,236.9,27.0,88.4,65.6,77.7,100.0,57.5,72.1,0.0,0.17,88.8,75.9,82.2,81.0,76.4,78.8,94.6,77.8,86.1,105.1,72.4,87.6
July_precipitation.asp.html,July,2025,daily,11,19.6,9.2,188.8,26.2,90.5,71.5,80.9,99.1,56.8,74.3,0.0,0.24,88.5,77.7,82.7,81.0,77.3,79.2,95.5,80.6,87.7,105.1,76.3,89.1
